ident,icao,iata,name,type,municipality,lat,lon,elev_ft,runway_len_ft,runway_len_m,surface,lighted,n_runways,scheduled_service
NZ-0041,NZ-0041,,Rarawa Airport,small_airport,Ngataki,-34.70214,173.02269,171,,,Unknown,0,0,0
NZ-0042,NZ-0042,,Ngataki Airport,small_airport,Ngataki,-34.76319,173.05531,194,,,Unknown,0,0,0
NZ-0043,NZ-0043,,Waihopo Airstrip,small_airport,Houhora,-34.77493,173.09582,10,,,Unknown,0,0,0
NZ-0044,NZ-0044,,Houhora North Airstrip,small_airport,Houhora,-34.76675,173.11199,180,,,Unknown,0,0,0
NZ-0045,NZ-0045,,Sandhills Airstrip,small_airport,Awanui,-35.05828,173.21385,85,,,Unknown,0,0,0
NZ-0046,NZ-0046,,Puriri Block Airstrip,small_airport,Kaingaroa,-35.06246,173.33653,482,,,Unknown,0,0,0
NZ-0047,NZ-0047,,Fisher Riley North Airstrip,small_airport,Kaitaia,-35.07869,173.36623,481,,,Unknown,0,0,0
NZ-0048,NZ-0048,,Fisher Riley South Airstrip,small_airport,Kaitaia,-35.10338,173.36966,340,,,Unknown,0,0,0
NZ-0049,NZ-0049,,Pamapuria Airstrip,small_airport,Kaitaia,-35.13336,173.36834,302,,,Unknown,0,0,0
NZ-0050,NZ-0050,,Te Rore Airstrip,small_airport,Kaitaia,-35.1806,173.37799,978,,,Unknown,0,0,0
NZ-0051,NZ-0051,,Takahue Airstrip,small_airport,Kaitaia,-35.21042,173.34838,497,,,Unknown,0,0,0
NZ-0052,NZ-0052,,Broadwood Airstrip,small_airport,Broadwood,-35.25414,173.37782,413,,,Unknown,0,0,0
NZ-0053,NZ-0053,,Pukemiro Airstrip,small_airport,Broadwood,-35.24984,173.35164,599,,,Unknown,0,0,0
NZ-0054,NZ-0054,,Wairapakuru Airstrip,small_airport,Broadwood,-35.25494,173.44751,640,,,Unknown,0,0,0
NZ-0055,NZ-0055,,Ngatieke Airstrip,small_airport,Broadwood,-35.26833,173.4582,774,,,Unknown,0,0,0
NZ-0056,NZ-0056,,Ahu Airstrip,small_airport,Kohukohu,-35.29343,173.46148,479,,,Unknown,0,0,0
NZ-0057,NZ-0057,,Paponga Airstrip,small_airport,Broadwood,-35.29016,173.42451,723,,,Unknown,0,0,0
NZ-0058,NZ-0058,,Pawarenga Road Airstrip,small_airport,Broadwood,-35.29625,173.36919,367,,,Unknown,0,0,0
NZ-0059,NZ-0059,,Runaruna Airstrip,small_airport,Broadwood,-35.32377,173.33705,410,,,Unknown,0,0,0
NZ-0060,NZ-0060,,Kohe Airstrip,small_airport,Pawarenga,-35.31355,173.29435,349,,,Unknown,0,0,0
NZ-0061,NZ-0061,,Mangamuka Bridge Airstrip,small_airport,Mangamuka,-35.24734,173.5394,371,,,Unknown,0,0,0
NZ-0062,NZ-0062,,Rotokoma Airstrip,small_airport,Umawera,-35.26083,173.56304,,,,Unknown,0,0,0
NZ-0063,NZ-0063,,Kahikatoa Airstrip,small_airport,Umawera,-35.28273,173.5509,,,,Unknown,0,0,0
NZ-0064,NZ-0064,,Umawera Airstrip,small_airport,Umawera,-35.28507,173.59184,,,,Unknown,0,0,0
NZ-0065,NZ-0065,,Rangiahua Airstrip,small_airport,Horeke,-35.31565,173.64982,,,,Unknown,0,0,0
NZ-0066,NZ-0066,,Waimaho Airstrip,small_airport,Ōkaihau,-35.33185,173.69893,,,,Unknown,0,0,0
NZ-0068,NZ-0068,,Waihou Valley Airstrip,small_airport,Ōkaihau,-35.29749,173.73129,,,,Unknown,0,0,0
NZ-0069,NZ-0069,,Omapere Airstrip,small_airport,Kaikohe,-35.38804,173.78561,,,,Unknown,0,0,0
NZ-0070,NZ-0070,,Remuera Settlement Airstrip,small_airport,Kaikohe,-35.37404,173.82952,,,,Unknown,0,0,0
NZ-0071,NZ-0071,,Maungaparenua Airstrip,small_airport,Waipapa,-35.21926,173.87409,,,,Unknown,0,0,0
NZ-0072,NZ-0072,,Pouerua Airstrip,small_airport,Pakaraka,-35.37092,173.93817,,,,Unknown,0,0,0
NZ-0073,NZ-0073,,Waiaruhe Airstrip,small_airport,Pakaraka,-35.35806,173.91905,,,,Unknown,0,0,0
NZ-0075,NZ-0075,,Te Kene Airstrip,small_airport,Pakaraka,-35.33878,173.97719,,,,Unknown,0,0,0
NZ-0076,NZ-0076,,Toots Airstrip,small_airport,Kawakawa,-35.38188,174.09782,,,,Unknown,0,0,0
NZ-0077,NZ-0077,,Waitotehoanga Airstrip,small_airport,Maromaku,-35.46282,174.09264,,,,Unknown,0,0,0
NZ-0078,NZ-0078,,Maromaku West Airstrip,small_airport,Maromaku,-35.46502,174.0892,,,,Unknown,0,0,0
NZ-0079,NZ-0079,,Ruapekapeka Airstrip,small_airport,Hūkerenui,-35.4657,174.16772,,,,Unknown,0,0,0
NZ-0080,NZ-0080,,Koheroa Airstrip,small_airport,Hūkerenui,-35.46497,174.18424,,,,Unknown,0,0,0
NZ-0084,NZ-0084,,Waro Airstrip,small_airport,Hikurangi,-35.58069,174.27472,,,,Unknown,0,0,0
NZ-0085,NZ-0085,,Tahere Airstrip,small_airport,Whareora,-35.69626,174.43641,,,,Unknown,0,0,0
NZ-0086,NZ-0086,,Mount Hutt Station Airstrip,small_airport,Methven,-43.52892,171.61364,,,,Unknown,0,0,0
NZ-0092,NZ-0092,,Anama airstrip,small_airport,Anama,-43.79376,171.39393,1002,,,Unknown,0,0,0
NZ-0102,NZ-0102,,Hanmer Springs Aerodrome,small_airport,Hanmer Springs,-42.56976,172.7973,,,,Unknown,0,0,0
NZ-0106,NZ-0106,,Westray Farm Airstrip,small_airport,Te Anau,-45.44279,167.77657,,,,Unknown,0,0,0
NZAE,NZAE,,Mount Tarawera Airport,small_airport,Mount Tarawera,-38.233,176.517,3100,,,Unknown,0,0,0
NZAN,NZAN,,Alfredton Airport,small_airport,Alfredton,-40.6981,175.856,500,,,Unknown,0,0,0
NZCG,NZCG,,Centennial Park Aerodrome,small_airport,Taupo,-38.66528,176.13472,1506,,,Unknown,0,0,0
NZCS,NZCS,,Cromwell Racecourse Aerodrome,small_airport,,-45.0486,169.17101,856,,,Unknown,0,0,0
NZES,NZES,,Wharepapa South Airport,small_airport,,-38.14388,175.5504,443,,,Unknown,0,0,0
NZFE,NZFE,,Fernside Fields Airpark,small_airport,Fenside,-43.31747,172.51196,195,,,Unknown,0,0,0
NZFP,NZFP,,Foxpine Aerodrome,small_airport,,-40.4567,175.27,39,,,Unknown,0,0,0
NZGC,NZGC,,Gore3 Airport,small_airport,,-46.1567,168.898,200,,,Unknown,0,0,0
NZGR,NZGR,,Great Mercury Airport,small_airport,Great Mercury Island / Ahuahu,-36.59363,175.7646,180,,,Unknown,0,0,0
NZKM,NZKM,,Karamea Airport,small_airport,,-41.2367,172.105,30,,,Unknown,0,0,0
NZKO,NZKO,KKO,Kaikohe Airport,small_airport,Kaikohe,-35.4511,173.817,571,,,Unknown,0,0,0
NZLD,NZLD,,Limestone Downs Airport,small_airport,Limestone Downs,-37.48,174.745,596,,,Unknown,0,0,0
NZLE,NZLE,,Lake Station Airport,small_airport,,-41.7592,172.746,1709,,,Unknown,0,0,0
NZME,NZME,,Mercer1 PDZ Airport,small_airport,,-37.2575,175.115,30,,,Unknown,0,0,0
NZML,NZML,,Molesworth Airport,small_airport,Molesworth,-42.083,173.283,2813,,,Unknown,0,0,0
NZMR,NZMR,,Murchison Airport,small_airport,Murchison,-41.7967,172.315,531,,,Unknown,0,0,0
NZMZ,NZMZ,,Matakana Island Airport,small_airport,Matakana Island,-37.6,176.08299,95,,,Unknown,0,0,0
NZNF,NZNF,,Norfolk Airport,small_airport,Inglewood,-39.20512,174.22257,875,,,Unknown,0,0,0
NZOA,NZOA,,Omarama Glider Airport,small_airport,,-44.4867,169.98599,1381,,,Unknown,0,0,0
NZOF,NZOF,,Omaha Flats Airport,small_airport,,-36.34679,174.75894,15,,,Unknown,0,0,0
NZOI,NZOI,,Motiti Island Airport,small_airport,Motiti Island,-37.633,176.41701,135,,,Unknown,0,0,0
NZOM,NZOM,,Omaka Blenheim Airport,small_airport,Blenheim,-41.54,173.922,102,,,Grass,0,3,0
NZOP,NZOP,,Opotiki Airport,small_airport,,-38.0225,177.30701,30,,,Unknown,0,0,0
NZOT,NZOT,,Otaki Airport,small_airport,Otaki,-40.78558,175.1513,114,,,Unknown,0,0,1
NZPH,NZPH,,Pudding Hill Aerodrome,small_airport,,-43.5942,171.53101,1558,,,Unknown,0,0,0
NZPO,NZPO,,Pōrangahau Aerodrome,small_airport,Pōrangahau,-40.27926,176.6502,200,,,Unknown,0,0,0
NZPW,NZPW,,Papawai Airfield,small_airport,Papawai,-41.10401,175.50033,128,,,Unknown,0,0,0
NZRA,NZRA,RAG,Raglan Aerodrome,small_airport,Raglan,-37.8047,174.86,10,,,Unknown,0,0,0
NZRR,NZRR,,Ruatoria Airfield,small_airport,,-37.88295,178.28972,250,,,Unknown,0,0,0
NZRW,NZRW,,Ruawai Aerodrome,small_airport,,-36.0972,173.97701,62,,,Unknown,0,0,0
NZRX,NZRX,,Roxburgh Aerodrome,small_airport,,-45.5117,169.317,463,,,Unknown,0,0,0
NZSD,NZSD,,Stratford Airport,small_airport,Stratford,-39.3189,174.31,951,,,Unknown,0,0,0
